SecurityCode	SecurityName	LatestPrice	PriceChangeRate	HolderNum	PreviousHolderNum	HolderNumChange	HolderNumChangeRate	RangeChangeRate	EndDate	PreviousEndDate	HolderAvgCapitalisation	HolderAvgStockQuantity	TotalCapitalisation	CapitalStock	NoticeDate
000597	东北制药	10.57	0.86	34225	36553	-2328	-6.3688	4.26	2017-12-31T00:00:00	2017-09-30T00:00:00	163095.503277721	13868.67	5581943599.68	474655068	2018-04-28T00:00:00
600661	新南洋	27.23	2.14	16816	19917	-3101	-15.5696	16.76	2017-12-31T00:00:00	2017-09-30T00:00:00	433503.938820171	17040.25	7289802235.2	286548830	2018-04-28T00:00:00
002496	辉丰股份	3.1	-1.59	55512	54089	1423	2.6308	0	2017-12-31T00:00:00	2017-12-29T00:00:00	143111.612955217	27155.9	7944411858.37	1507478531	2018-04-28T00:00:00
000876	新希望	7.09	-0.28	101399	104000	-2601	-2.501	0.68	2017-12-31T00:00:00	2017-10-31T00:00:00	309759.581623586	41578.47	31409311817.05	4216015009	2018-04-28T00:00:00
600401	*ST海润	0	0	234850	237424	-2574	-1.0841	-22.3	2017-12-31T00:00:00	2017-09-30T00:00:00	23136.7912488823	20118.95	5433675424.8	4724935152	2018-04-28T00:00:00
002591	恒大高新	9.34	1.52	16607	16926	-319	-1.8847	-2.24	2017-12-31T00:00:00	2017-12-15T00:00:00	185738.911575842	18463.11	3084566104.54	306616909	2018-04-28T00:00:00
603555	贵人鸟	24.79	-0.16	11580	11963	-383	-3.2015	-17.41	2017-12-31T00:00:00	2017-09-30T00:00:00	960816.747072539	54283.43	11126257931.1	628602143	2018-04-28T00:00:00
000858	五粮液	72.9	-1.22	202384	158903	43481	27.3632	39.46	2017-12-31T00:00:00	2017-09-30T00:00:00	1498249.96834532	18756.26	303221821593.6	3795966720	2018-04-28T00:00:00
603566	普莱柯	19.05	-0.37	9600	11281	-1681	-14.9012	1.19	2017-12-31T00:00:00	2017-09-30T00:00:00	748311.520833333	33722.92	7183790600	323740000	2018-04-28T00:00:00
000426	兴业矿业	8.78	-1.35	31793	32501	-708	-2.1784	3.36	2017-12-31T00:00:00	2017-12-15T00:00:00	577717.122489542	58770.82	18367360475.31	1868500557	2018-04-28T00:00:00
002577	雷柏科技	16.91	0.12	33274	33274	0	0	0	2017-12-31T00:00:00	2017-12-29T00:00:00	142755.267536214	8507.47	4750038772	283077400	2018-04-28T00:00:00
000504	南华生物	21.68	-0.05	16786	15814	972	6.1465	19.9	2017-12-31T00:00:00	2017-09-30T00:00:00	436196.036786608	18561.53	7321986673.5	311573901	2018-04-28T00:00:00
600896	*ST海投	5.12	-5.01	42367	43837	-1470	-3.3533	-12.48	2017-12-31T00:00:00	2017-09-30T00:00:00	146672.136007978	20513.59	6214058386.25	869099075	2018-04-28T00:00:00
600895	张江高科	12.94	-0.69	115500	122383	-6883	-5.6241	-14.73	2017-12-31T00:00:00	2017-09-30T00:00:00	191742.515714286	13408.57	22146260565	1548689550	2018-04-28T00:00:00
002699	美盛文化	0	0	19971	22663	-2692	-11.8784	-3.26	2017-12-31T00:00:00	2017-09-30T00:00:00	824814.082907716	45544.68	16472362049.75	909572725	2018-04-28T00:00:00
600594	益佰制药	10.78	0	61676	62325	-649	-1.0413	-21.75	2017-12-31T00:00:00	2017-09-30T00:00:00	131226.052727155	12840.12	8093498028	791927400	2018-04-28T00:00:00
300090	盛运环保	0	0	25895	28346	-2451	-8.6467	-18.8	2017-12-31T00:00:00	2017-09-30T00:00:00	470993.048823325	50973.27	12196364999.28	1319952922	2018-04-28T00:00:00
601799	星宇股份	54.48	2.77	5882	6054	-172	-2.8411	-0.66	2017-12-31T00:00:00	2017-09-30T00:00:00	2323985.71642299	46949.21	13669683984	276155232	2018-04-28T00:00:00
603519	立霸股份	19.72	-0.25	5976	6079	-103	-1.6944	-15.34	2017-12-31T00:00:00	2017-09-30T00:00:00	567603.74832664	26773.76	3392000000	160000000	2018-04-28T00:00:00
600228	*ST昌九	10.32	-0.67	19125	21587	-2462	-11.405	-12.03	2017-12-31T00:00:00	2017-09-30T00:00:00	142962.384313725	12618.04	2734155600	241320000	2018-04-28T00:00:00
600496	精工钢构	3.44	0	142448	143278	-830	-0.5793	-26.91	2017-12-31T00:00:00	2017-09-30T00:00:00	44640.6709255307	10603.48	6358974292	1510445200	2018-04-28T00:00:00
600351	亚宝药业	7.61	-1.68	63504	60262	3242	5.3798	-6.08	2017-12-31T00:00:00	2017-09-30T00:00:00	91960.3118011464	12393.57	5839847640.62	787041461	2018-04-28T00:00:00
600641	万业企业	0	0	45225	42692	2533	5.9332	0.07	2017-12-31T00:00:00	2017-09-30T00:00:00	238861.851259259	17825.51	10802527223.2	806158748	2018-04-28T00:00:00
